Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
15247,1.18,Ideal,G,VS1,61.9,56.0,6.81,6.76,4.2,8556
15413,1.21,Very Good,F,VS2,63.5,58.0,6.76,6.73,4.28,7826
8387,1.2,Very Good,D,SI2,63.5,59.0,6.61,6.56,4.18,4758
11964,0.32,Very Good,H,VS2,62.3,57.0,4.37,4.39,2.73,505
12711,0.4,Premium,D,SI2,61.9,58.0,4.71,4.73,2.92,666
25946,1.5,Premium,E,VS2,59.4,62.0,7.48,7.4,4.42,12587
23740,0.31,Very Good,G,SI2,61.7,55.0,4.37,4.4,2.71,433
13577,1.2,Premium,F,SI1,60.2,58.0,6.9,6.86,4.14,6604
7427,0.72,Very Good,J,VS1,64.0,57.0,5.67,5.71,3.64,2066
19504,0.8,Good,E,SI2,57.7,65.0,6.13,6.08,3.52,2640
11358,0.26,Very Good,E,VVS2,64.3,57.0,3.99,4.03,2.58,547
14174,0.36,Ideal,G,VVS1,60.9,57.0,4.63,4.57,2.8,1080
15438,0.23,Very Good,F,VVS2,61.2,58.0,3.96,3.98,2.43,530
19392,1.07,Very Good,G,SI1,60.5,62.0,6.6,6.69,4.02,4861
2843,1.12,Ideal,H,VS1,61.9,57.0,6.66,6.69,4.13,6309
18588,1.01,Ideal,I,VS2,62.5,56.0,6.38,6.41,4.0,5855
11227,0.51,Very Good,E,SI1,60.9,57.0,5.17,5.2,3.16,1357
6391,0.42,Very Good,F,SI1,63.4,56.0,4.8,4.76,3.03,926
14664,0.51,Premium,D,VS1,59.5,57.0,5.24,5.21,3.11,1873
23968,0.4,Good,F,SI1,63.6,57.0,4.7,4.67,2.98,945
25108,1.5,Good,G,VS1,63.8,58.0,7.21,7.12,4.57,13720
6353,1.0,Premium,D,VS1,61.0,58.0,6.46,6.42,3.93,7280
16283,1.54,Premium,H,SI1,62.2,58.0,7.45,7.32,4.59,10466
9455,0.4,Very Good,E,VS2,63.0,58.0,4.7,4.73,2.97,791
18959,0.29,Ideal,E,VVS2,62.0,55.0,4.25,4.27,2.64,669
23818,0.53,Very Good,F,VS2,62.7,57.0,5.1,5.14,3.21,1592
20993,0.9,Premium,G,I1,62.3,53.0,6.16,6.12,3.82,1939
1520,0.51,Premium,F,VS2,60.1,59.0,5.2,5.18,3.12,1574
15128,0.27,Ideal,D,VVS1,62.2,56.0,4.15,4.12,2.57,799
2930,0.31,Ideal,D,SI1,62.3,54.0,4.33,4.37,2.71,571
11673,0.72,Ideal,F,VS1,61.4,56.0,5.75,5.79,3.54,3759
7746,0.33,Ideal,G,VVS1,,56.0,4.48,4.45,2.77,1114
1820,1.5,Good,J,SI2,63.6,58.0,7.25,7.18,4.59,6421
9838,2.05,Premium,G,SI1,62.2,56.0,8.19,8.08,5.06,13767
13762,0.25,Premium,G,SI2,58.8,60.0,5.33,5.28,3.12,1186
486,1.52,Premium,E,SI1,62.5,59.0,7.33,7.26,4.56,12418
10271,1.06,Ideal,E,VS1,62.1,57.0,6.52,6.49,4.04,8567
21446,0.56,Ideal,D,SI1,62.5,56.0,5.24,5.28,3.29,1608
4097,0.41,Ideal,G,VVS1,61.6,57.0,4.75,4.77,2.93,1055
14637,0.23,Ideal,F,VVS2,61.4,57.0,3.96,3.99,2.44,538
8592,1.2,Very Good,F,VS2,61.1,58.0,6.82,6.86,4.18,8232
10149,1.54,Very Good,I,SI2,63.3,60.0,7.34,7.31,4.64,7437
12393,1.52,Ideal,D,VS1,61.2,57.0,7.4,7.46,4.55,17659
8797,0.62,Ideal,I,VVS2,62.6,57.0,5.47,5.5,3.44,1615
26653,2.0,Very Good,J,VS2,60.8,62.0,8.09,8.12,4.93,13043
13715,1.01,Very Good,G,SI2,62.0,58.0,6.41,6.46,3.99,3682
20070,1.5,Premium,J,VVS2,,60.0,7.36,7.33,4.54,8760
11066,1.1,Premium,H,SI1,60.4,60.0,6.72,6.68,4.05,5056
24508,1.01,Good,E,SI1,64.0,60.0,6.38,6.28,4.05,5823
3303,1.02,Very Good,H,SI1,61.0,59.0,6.48,6.53,3.97,5455
17054,0.59,Premium,H,SI1,62.2,59.0,5.38,5.32,3.33,1106
2033,0.7,Ideal,F,SI1,62.6,55.0,5.67,5.7,3.56,2410
12921,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,4227
7242,0.43,Very Good,F,VS2,61.0,57.0,4.84,4.87,2.96,905
18822,0.3,Very Good,F,VS1,59.8,59.0,4.3,4.43,2.61,704
18083,1.23,Ideal,J,VS2,61.5,57.0,6.9,6.95,4.26,5217
1513,0.3,Very Good,E,VVS2,61.4,58.0,4.25,4.28,2.62,789
1442,0.3,Very Good,G,VS2,59.3,59.0,4.38,4.42,2.61,491
24415,0.51,Ideal,D,VS2,61.5,55.0,5.13,5.18,3.17,1787
7424,1.21,Fair,E,SI2,65.6,59.0,6.62,6.56,4.32,4926
4009,0.71,Very Good,F,VS2,63.1,58.0,5.65,5.7,3.58,2588
1409,0.43,Ideal,G,VVS1,60.5,57.0,4.86,4.92,2.96,1207
2965,1.0,Good,E,VS2,57.4,62.0,6.56,6.53,3.76,6272
3613,1.12,Ideal,G,VS1,61.1,56.0,6.7,6.73,4.1,8080
2627,0.75,Premium,E,SI1,61.7,60.0,5.84,5.8,3.59,3024
15814,0.3,Very Good,I,IF,63.3,56.0,4.26,4.21,2.68,810
2942,0.84,Premium,E,VS2,62.4,60.0,6.04,5.98,3.75,3528
21523,0.37,Premium,F,SI1,61.6,59.0,4.62,4.67,2.86,616
900,0.31,Premium,E,VS2,61.6,59.0,4.32,4.35,2.67,680
3634,0.44,Ideal,F,VVS2,60.9,55.0,4.96,4.92,3.01,1253
3344,0.3,Premium,D,SI1,62.3,58.0,4.28,4.32,2.68,552
26351,2.08,Very Good,H,SI2,59.0,59.0,8.37,8.41,4.95,15696
24954,0.42,Premium,G,VVS2,60.4,59.0,4.82,4.78,2.9,1103
19581,0.3,Ideal,F,SI1,62.4,56.0,4.27,4.32,2.68,475
9948,0.31,Premium,E,VVS2,60.5,57.0,4.41,4.39,2.66,837
15132,0.7,Good,I,VS1,63.1,57.0,5.59,5.67,3.55,2390
10512,0.32,Premium,F,VS2,61.7,58.0,4.41,4.38,2.71,828
26683,0.3,Ideal,E,VVS2,61.7,57.0,4.34,4.31,2.67,1013
25665,0.32,Premium,H,VVS2,,58.0,4.33,4.37,2.71,645
3803,0.9,Good,D,SI1,63.2,55.0,6.1,6.14,3.87,4381
18444,0.81,Premium,G,VS1,61.7,59.0,6.07,5.96,3.71,3402
1707,1.01,Fair,J,VVS2,66.0,56.0,6.29,6.22,4.13,2998
15214,0.53,Ideal,H,VS2,62.6,57.0,5.17,5.15,3.23,1412
10332,0.73,Ideal,D,SI1,61.8,56.0,5.8,5.76,3.57,3189
984,0.7,Very Good,H,VS2,61.6,55.0,5.71,5.75,3.53,2330
23398,1.52,Very Good,I,VS1,62.9,59.9,7.27,7.31,4.59,10032
25128,0.42,Ideal,D,VVS2,62.5,57.0,4.77,4.8,2.99,1326
10091,0.57,Ideal,E,VS2,62.9,57.0,5.29,5.26,3.32,1949
10379,1.28,Very Good,G,VS1,59.2,57.0,7.05,7.13,4.2,8895
15775,1.0,Premium,F,SI2,62.9,59.0,6.39,6.3,3.99,4155
14644,0.9,Very Good,E,SI1,63.2,58.0,6.12,6.1,3.86,4560
7807,0.7,Premium,G,VVS2,62.9,59.0,5.68,5.61,3.55,2874
1885,0.3,Premium,G,VS1,62.0,60.0,4.28,4.23,2.64,776
3305,0.23,Very Good,G,VVS2,62.9,55.0,3.88,3.92,2.45,431
38,0.51,Premium,I,SI1,61.3,58.0,5.16,5.11,3.15,1084
3468,0.24,Ideal,E,VVS1,60.9,56.0,4.01,4.04,2.45,752
14491,1.0,Very Good,F,VS2,61.9,58.0,6.41,6.49,3.99,6927
25489,1.14,Premium,F,SI1,61.1,58.0,6.77,6.72,4.12,6448
90,0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69,665
1322,0.5,Ideal,E,VS2,62.2,56.0,5.12,5.11,3.18,1629
22526,0.8,Ideal,I,VVS1,61.7,56.0,5.98,5.92,3.67,3181
11603,0.7,Ideal,E,SI2,62.9,56.0,5.66,5.6,3.54,2100
24851,0.59,Premium,E,VS2,60.1,59.0,5.46,5.42,3.27,2578
20726,0.34,Premium,G,VS2,61.2,58.0,4.5,4.46,2.74,765
1564,2.0,Fair,I,VS1,58.5,68.0,8.26,8.15,4.8,11322
8428,0.91,Premium,G,SI1,61.8,60.0,6.21,6.18,3.83,3975
3376,1.12,Ideal,F,VS2,62.6,56.0,6.59,6.63,4.14,8074
20189,0.31,Ideal,E,VS2,59.8,57.0,4.43,4.46,2.65,695
16215,0.33,Ideal,I,VVS2,62.4,56.0,4.41,4.43,2.76,579
7839,0.25,Ideal,F,SI1,61.5,56.0,4.06,4.09,2.5,430
5970,0.7,Very Good,G,SI2,60.7,58.0,5.74,5.8,3.5,2141
9159,0.35,Premium,F,VS2,60.9,57.0,4.58,4.55,2.78,879
3552,0.62,Premium,F,SI1,61.3,60.0,5.48,5.45,3.35,1633
4279,0.53,Premium,E,VVS1,60.8,59.0,5.23,5.17,3.16,2514
605,1.01,Ideal,J,VS2,62.3,55.0,6.4,6.44,4.0,4425
17896,0.35,Ideal,I,VVS2,62.3,57.0,4.53,4.49,2.81,788
10161,1.52,Good,J,VS2,63.1,61.0,7.19,7.23,4.55,6982
518,0.45,Good,F,VS1,58.6,62.2,5.0,5.05,2.95,1144
12168,0.41,Premium,H,SI1,60.5,58.0,4.85,4.81,2.92,876
10754,1.13,Ideal,G,SI2,62.9,54.0,6.72,6.67,4.21,5164
3763,1.13,Ideal,F,SI1,59.7,57.0,6.82,6.79,4.06,5342
25766,2.02,Premium,I,VS2,59.6,60.0,8.25,8.2,4.9,16861
14462,1.02,Premium,J,SI1,,62.0,6.51,6.43,3.81,3444
12503,1.01,Good,F,SI2,63.1,58.0,6.34,6.38,4.01,4004
4434,0.34,Very Good,H,VS2,61.9,60.0,4.42,4.46,2.75,537
294,0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625
9906,1.02,Very Good,F,VVS2,62.9,59.0,6.37,6.42,4.02,8940
5827,0.36,Ideal,E,SI1,61.9,56.0,4.53,4.58,2.82,631
12893,1.5,Very Good,H,SI1,63.4,57.0,7.27,7.23,4.59,7708
959,1.19,Ideal,D,SI2,60.4,55.0,6.91,6.89,4.17,5504
23140,0.71,Very Good,F,SI2,59.2,60.0,5.85,5.91,3.48,2134
18748,0.58,Very Good,F,SI1,59.9,58.0,5.35,5.4,3.22,1401
3493,2.02,Premium,J,SI2,62.1,60.0,7.98,8.09,4.99,11165
19650,1.71,Premium,G,SI2,60.9,58.0,7.72,7.68,4.69,11351
7311,1.01,Very Good,E,SI1,63.6,56.0,6.3,6.37,4.03,6132
873,0.58,Ideal,E,VS2,60.9,59.0,5.36,5.44,3.29,1698
17966,0.8,Good,F,SI1,63.8,59.0,5.87,5.83,3.73,2890
18966,0.42,Premium,F,VS2,61.9,58.0,4.76,4.8,2.96,884
411,1.01,Premium,G,VVS2,63.0,61.0,6.36,6.34,4.0,7665
18389,0.32,Ideal,G,VS1,62.3,56.0,4.39,4.37,2.73,828
3970,0.74,Fair,F,VS2,61.1,68.0,5.82,5.75,3.53,2805
3189,1.51,Very Good,F,SI1,59.4,57.0,7.48,7.57,4.47,10838
7762,0.54,Ideal,F,SI2,61.1,56.0,5.26,5.22,3.2,1240
18650,1.19,Ideal,H,I1,60.3,57.0,6.83,6.93,4.15,3794
26744,0.6,Ideal,D,VVS1,61.6,56.0,5.41,5.43,3.34,3570
18938,1.19,Ideal,D,VS1,61.1,57.0,6.84,6.87,4.19,10079
10811,0.32,Very Good,G,IF,,55.0,4.37,4.4,2.75,872
16975,0.42,Ideal,H,IF,61.9,56.0,4.79,4.81,2.97,1216
16482,0.39,Premium,G,VS1,62.6,58.0,4.7,4.66,2.93,1097
12998,1.04,Premium,G,SI2,62.9,58.0,6.47,6.43,4.06,4277
6386,1.1,Ideal,H,SI1,62.5,57.0,6.6,6.56,4.11,4764
8722,0.9,Very Good,F,SI2,60.3,57.0,6.27,6.34,3.8,3519
9698,0.71,Premium,G,SI2,62.3,55.0,5.72,5.68,3.55,1977
20761,1.8,Ideal,H,VS1,62.3,56.0,7.79,7.76,4.84,15105
12429,0.34,Ideal,H,VVS2,61.4,56.0,4.48,4.51,2.76,852
16048,2.02,Premium,J,VS2,62.1,59.0,8.08,7.98,4.99,14330
20949,1.1,Very Good,I,VS2,61.8,58.0,6.59,6.62,4.08,5524
4549,0.9,Ideal,D,SI1,62.5,57.0,6.12,6.2,3.85,4579
5918,0.31,Premium,E,SI1,62.6,60.0,4.35,4.31,2.71,698
21826,0.73,Ideal,J,VS2,62.3,55.0,5.74,5.78,3.59,2101
17798,0.31,Ideal,J,VS2,62.2,55.0,4.32,4.36,2.7,396
19777,0.3,Ideal,H,SI1,62.9,53.0,4.28,4.31,2.7,407
3057,0.3,Ideal,F,SI1,61.9,57.0,4.28,4.31,2.66,609
8827,0.7,Premium,H,VS2,61.0,59.0,5.72,5.65,3.47,2251
20434,1.01,Fair,F,VS2,64.5,58.0,6.28,6.18,4.02,5226
1458,0.72,Good,F,SI1,63.9,62.0,5.7,5.63,3.62,2229
6932,0.4,Good,F,VS2,63.4,54.4,4.68,4.73,2.99,826
4338,1.69,Very Good,I,VVS2,60.4,59.0,7.7,7.73,4.66,12394
26317,0.77,Ideal,I,VVS2,62.1,57.0,5.84,5.86,3.63,2824
1861,1.13,Fair,I,VS2,55.9,67.0,7.05,6.94,3.9,4695
16816,1.24,Very Good,J,SI1,60.0,59.0,6.99,7.04,4.21,5231
10496,1.22,Premium,G,SI1,62.3,58.0,6.83,6.76,4.23,6288
26399,1.32,Premium,I,SI2,60.8,58.0,7.03,7.11,4.3,4704
9743,0.61,Ideal,E,VS2,61.9,53.0,5.45,5.5,3.39,2248
11508,1.4,Premium,J,SI1,62.9,59.0,7.16,7.07,4.48,4939
8209,0.55,Very Good,J,SI1,62.5,57.0,5.22,5.24,3.27,965
12156,1.01,Fair,G,SI1,66.9,56.0,6.15,6.22,4.14,4102
15410,0.33,Very Good,E,SI1,59.1,59.0,4.54,4.59,2.7,540
8549,0.33,Ideal,E,VVS2,61.0,57.0,4.46,4.49,2.73,802
22183,1.0,Very Good,F,VVS1,61.1,57.0,6.36,6.51,3.93,9870
17894,2.0,Fair,I,SI2,66.8,55.0,7.75,7.71,5.16,8037
16261,0.9,Very Good,H,VS2,62.7,59.0,6.1,6.15,3.84,4155
9831,0.7,Very Good,G,VS1,61.9,57.0,5.68,5.71,3.53,3127
7268,1.52,Very Good,H,SI1,60.9,59.0,7.43,7.49,4.54,9642
16586,0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,4460
22325,0.54,Premium,E,VS1,61.3,56.0,5.27,5.23,3.22,1960
11750,0.3,Good,G,SI1,63.8,56.0,4.3,4.26,2.73,574
20294,1.24,Very Good,I,VS1,61.4,63.0,6.89,6.88,4.23,5444
20605,1.24,Premium,J,VS2,61.4,59.0,6.91,6.83,4.22,5026
13699,0.74,Premium,G,SI2,60.1,58.0,5.89,5.86,3.53,2206
24909,1.02,Very Good,F,VS1,61.9,59.0,6.38,6.44,3.97,7257
839,2.05,Premium,J,VS2,62.3,60.0,8.15,8.09,5.06,13667
18418,0.59,Ideal,G,VS1,61.3,55.0,5.42,5.44,3.33,2129
1105,1.0,Very Good,F,VS2,63.2,59.0,6.35,6.3,4.0,6296
3865,0.43,Ideal,H,SI1,62.4,56.0,4.81,4.83,3.01,716
21250,0.7,Good,F,SI1,,59.0,5.58,5.64,3.56,1988
19292,0.93,Very Good,G,SI1,62.3,58.0,6.2,6.29,3.9,4144
15888,1.0,Very Good,D,VS1,60.5,59.0,6.43,6.46,3.9,8077
24073,0.53,Ideal,H,VS1,61.2,56.0,5.23,5.26,3.21,1601
20767,1.04,Ideal,G,VS2,61.9,57.0,6.5,6.46,4.01,6290
20378,0.31,Ideal,D,VS1,60.1,57.0,4.39,4.4,2.64,913
18849,1.6,Ideal,H,SI2,62.1,56.0,7.43,7.51,4.64,9275
21241,1.01,Very Good,H,SI1,62.3,57.0,6.36,6.42,3.98,4306
23702,0.7,Premium,H,VS2,60.8,59.0,5.71,5.74,3.48,2330
25100,0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1768
26178,1.36,Very Good,D,SI1,59.5,61.0,7.21,7.24,4.3,9874
8825,0.32,Ideal,F,VVS1,61.9,56.0,4.41,4.44,2.74,895
25339,0.9,Ideal,D,SI1,61.2,55.0,6.25,6.21,3.81,5226
11321,0.52,Ideal,G,SI1,62.6,56.0,5.16,5.13,3.22,1338
2592,0.9,Fair,D,SI1,65.7,65.0,6.06,5.94,3.94,3751
11117,2.03,Premium,I,SI1,59.8,59.0,8.29,8.24,4.94,12844
13858,1.51,Ideal,F,SI1,61.5,55.0,7.39,7.35,4.53,12152
13243,2.01,Ideal,I,VS1,61.4,59.0,8.06,8.13,4.97,17227
18189,1.01,Ideal,E,VVS2,61.7,55.0,6.44,6.49,3.99,10852
17834,1.13,Very Good,H,VS2,61.4,61.0,6.67,6.71,4.11,5548
2502,0.3,Ideal,G,SI1,62.8,56.0,4.32,4.28,2.7,574
17187,0.91,Very Good,E,VS2,61.1,58.0,6.2,6.28,3.81,5145
3411,1.5,Very Good,J,VS2,60.5,63.0,7.32,7.27,4.41,7308
1195,0.41,Ideal,E,VVS1,61.9,55.0,4.78,4.79,2.96,1367
26897,0.32,Premium,G,VS1,62.1,58.0,4.39,4.37,2.72,828
10350,0.31,Premium,G,SI1,62.6,58.0,4.34,4.29,2.7,593
21516,1.02,Very Good,F,VS2,61.7,58.0,6.47,6.5,4.0,6479
65,1.13,Premium,H,SI1,60.9,59.0,6.79,6.7,4.11,5050
